coords,snout_x,snout_y,ID,centroid_x,centroid_y
519,257.946,890.777,mouse1,272.666,772.948
520,264.91,901.995,mouse1,271.798,776.135
521,267.536,913.252,mouse1,266.53,794.683
522,265.108,918.274,mouse1,264.929,790.187
523,264.655,928.511,mouse1,262.458,810.442
524,273.442,947.012,mouse1,262.472,825.15
525,274.025,961.123,mouse1,260.963,841.381
526,254.62,976.574,mouse1,260.756,855.942
527,253.17,989.298,mouse1,262.741,854.925
528,244.14,995.021,mouse1,260.223,871.343
529,238.291,1008.023,mouse1,263.929,882.152
530,226.971,1019.391,mouse1,253.565,885.751
531,227.969,1030.064,mouse1,248.77,908.12
532,225.298,1032.631,mouse1,244.957,905.721
533,222.172,1032.668,mouse1,252.192,903.047
534,220.943,1029.746,mouse1,241.202,903.732
535,222.586,1026.027,mouse1,242.542,900.343
536,227.428,1021.465,mouse1,251.344,889.665
537,226.145,1016.889,mouse1,251.346,887.353
538,220.491,1012.156,mouse1,253.764,888.717
539,218.266,1013.798,mouse1,258.244,892.321
540,220.649,1019.81,mouse1,253.784,891.125
541,210.289,1024.25,mouse1,252.368,896.779
542,200.269,1025.679,mouse1,252.744,900.938
543,190.272,1037.804,mouse1,240.325,906.079
544,186.388,1042.89,mouse1,252.394,907.732
545,178.916,1050.758,mouse1,247.891,922.551
546,177.794,1057.96,mouse1,244.137,920.358
547,182.186,1063.569,mouse1,240.46,924.762
548,189.001,1069.039,mouse1,248.242,915.111
549,193.955,1071.09,mouse1,246.87,925.695
550,209.062,1076.751,mouse1,243.677,935.175
551,218.244,1078.091,mouse1,243.181,938.163
552,222.222,1086.614,mouse1,245.999,942.821
553,235.69,1089.871,mouse1,247.426,948.315
554,244.445,1096.77,mouse1,250.409,952.357
555,253.543,1103.442,mouse1,247.332,952.322
556,261.373,1107.945,mouse1,249.49,969.901
557,257.996,1119.588,mouse1,246.558,980.591
558,255.89,1133.321,mouse1,248.296,982.882
559,256.129,1149.406,mouse1,249.045,1001.342
560,255.601,1155.99,mouse1,246.074,1020.851
561,264.086,1165.642,mouse1,244.004,1032.431
562,256.961,1175.177,mouse1,239.699,1043.454
563,262.922,1181.851,mouse1,237.855,1050.96
564,271.239,1193.721,mouse1,239.63,1062.864
565,272.943,1201.033,mouse1,235.609,1063.937
566,273.711,1210.607,mouse1,238.839,1084.65
567,277.892,1223.883,mouse1,245.086,1093.94
568,283.292,1228.998,mouse1,243.264,1099.094
569,283.208,1230.906,mouse1,250.753,1104.407
570,284.806,1235.93,mouse1,245.962,1114.412
571,284.211,1243.997,mouse1,246.476,1112.337
572,286.205,1248.726,mouse1,242.498,1116.73
573,284.892,1247.483,mouse1,246.219,1115.963
574,280.063,1247.379,mouse1,246.264,1121.799
575,270.499,1258.619,mouse1,243.732,1129.238
576,271.008,1267.154,mouse1,248.737,1138.244
577,271.613,1279.812,mouse1,246.854,1142.465
578,272.338,1287.971,mouse1,247.859,1159.819
579,275.489,1295.916,mouse1,239.787,1167.13
580,278.77,1302.395,mouse1,238.819,1173.634
581,275.933,1306.412,mouse1,239.673,1177.823
582,281.641,1305.295,mouse1,238.32,1182.155
583,279.254,1304.491,mouse1,238.376,1178.742
584,276.329,1298.175,mouse1,241.375,1172.951
585,275.497,1294.057,mouse1,239.557,1172.926
586,275.213,1290.381,mouse1,237.21,1173.864
587,278.459,1287.341,mouse1,237.329,1172.306
588,283.165,1280.513,mouse1,237.833,1171.015
589,,,mouse1,239.499,1167.6
590,,,mouse1,240.598,1164.184
591,,,mouse1,241.269,1170.365
592,,,mouse1,242.87,1169.57
593,,,mouse1,239.796,1168.111
594,,,mouse1,242.542,1167.433
595,,,mouse1,241.787,1167.303
596,,,mouse1,246.354,1168.149
597,287.691,1279.627,mouse1,247.471,1169.088
598,290.005,1280.5,mouse1,245.974,1168.652
599,292.839,1280.372,mouse1,244.181,1170.975
600,302.874,1279.609,mouse1,239.922,1174.813
601,304.493,1277.44,mouse1,241.446,1175.364
602,304.274,1273.548,mouse1,240.916,1177.172
603,305.556,1273.875,mouse1,242.925,1173.816
604,305.759,1273.091,mouse1,243.974,1176.162
605,306.744,1273.033,mouse1,243.353,1173.372
606,306.817,1270.51,mouse1,241.862,1172.145
607,313.454,1273.894,mouse1,244.295,1171.292
608,311.689,1269.891,mouse1,243.169,1171.35
609,308.075,1271.629,mouse1,244.585,1169.828
610,306.34,1272.9,mouse1,241.871,1174.452
611,306.78,1273.568,mouse1,240.252,1174.053
612,306.29,1274.105,mouse1,241.155,1175.647
613,304.91,1275.158,mouse1,240.718,1175.609
614,305.494,1275.056,mouse1,242.99,1177.796
615,305.717,1274.53,mouse1,243.439,1173.697
616,305.768,1275.513,mouse1,244.025,1174.358
617,306.141,1276.264,mouse1,243.564,1175.782
618,305.873,1276.2,mouse1,242.53,1177.096
619,305.931,1275.44,mouse1,243.918,1171.156
620,306.221,1275.2,mouse1,243.839,1172.325
621,304.984,1276.454,mouse1,250.764,1173.444
622,306.641,1274.584,mouse1,243.434,1175.614
623,306.504,1275.739,mouse1,247.331,1174.408
624,306.487,1274.977,mouse1,241.241,1176.799
625,306.207,1275.243,mouse1,242.385,1175.897
626,306.07,1275.816,mouse1,242.726,1175.944
627,306.02,1277.056,mouse1,242.073,1176.176
628,303.938,1279.984,mouse1,240.726,1178.418
629,301.875,1283.634,mouse1,241.426,1177.27
630,301.17,1284.078,mouse1,238.228,1181.811
631,,,mouse1,237.39,1182.606
632,,,mouse1,238.733,1175.388
633,,,mouse1,236.337,1173.897
634,,,mouse1,236.24,1173.782
635,,,mouse1,234.526,1171.873
636,,,mouse1,234.304,1177.067
637,,,mouse1,233.107,1177.003
638,,,mouse1,240.309,1170.938
639,,,mouse1,244.738,1172.916
640,1222.954,1251.306,mouse2,1197.239,1126.446
641,1226.213,1264.612,mouse2,1201.444,1135.218
642,1231.071,1276.591,mouse2,1204.567,1153.815
643,1228.105,1284.292,mouse2,1207.13,1164.536
644,1227.107,1295.995,mouse2,1208.663,1178.273
645,1224.072,1297.692,mouse2,1211.614,1176.419
646,1227.144,1302.054,mouse2,1208.572,1188.152
647,1226.422,1300.854,mouse2,1220.129,1203.729
648,1232.174,1297.184,mouse2,1207.671,1187.919
649,1251.639,1289.612,mouse2,1206.567,1192.908
650,1264.965,1284.169,mouse2,1218.971,1192.222
651,1273.801,1279.139,mouse2,1223.755,1185.401
652,1282.174,1273.346,mouse2,1231.679,1188.621
653,1296.198,1272.015,mouse2,1226.367,1192.008
654,1308.143,1265.584,mouse2,1238.62,1193.126
655,1314.732,1269.357,mouse2,1239.372,1192.87
656,1320.606,1266.762,mouse2,1247.794,1199.156
657,1326.438,1276.596,mouse2,1245.519,1207.458
658,1329.586,1277.709,mouse2,1248.569,1211.639
659,1328.549,1273.567,mouse2,1252.774,1220.301
660,1330.641,1276.712,mouse2,1250.152,1209.021
661,1331.365,1276.783,mouse2,1250.102,1209.589
662,1330.312,1272.943,mouse2,1253.02,1207.661
663,1331.942,1272.246,mouse2,1252.865,1206.045
664,1331.24,1268.877,mouse2,1254.579,1210.004
665,1335.93,1270.196,mouse2,1254.448,1211.215
666,1337.526,1268.6,mouse2,1254.673,1209.459
667,1341.206,1276.608,mouse2,1247.955,1211.634
668,1340.529,1275.989,mouse2,1248.486,1209.997
669,1330.303,1266.522,mouse2,1252.846,1224.494
670,1330.16,1266.563,mouse2,1252.393,1224.101
671,,,mouse2,1248.238,1210.228
672,1338.837,1265.585,mouse2,1255.967,1223.043
673,1338.321,1266.006,mouse2,1258.593,1221.93
674,1338.258,1269.6,mouse2,1258.79,1220.472
675,1340.27,1276.114,mouse2,1258.685,1223.513
676,1340.609,1278.746,mouse2,1247.837,1211.143
677,,,mouse2,1248.843,1210.89
678,1339.649,1262.505,mouse2,1256.148,1222.711
679,1339.615,1262.233,mouse2,1252.975,1219.572
680,1341.268,1261.947,mouse2,1254.355,1219.071
681,1341.849,1262.134,mouse2,1255.681,1221.702
682,1341.624,1262.087,mouse2,1255.577,1221.472
683,1339.988,1261.908,mouse2,1257.07,1222.828
684,1329.848,1260.709,mouse2,1253.472,1221.059
685,1330.474,1260.417,mouse2,1255.941,1209.336
686,1331.148,1261.333,mouse2,1257.393,1209.995
687,,,mouse2,1249.029,1209.37
688,1327.748,1259.643,mouse2,1257.043,1209.632
689,,,mouse2,1250.089,1208.617
690,1331.089,1251.207,mouse2,1256.582,1209.535
691,1328.762,1260.058,mouse2,1257.21,1210.146
692,,,mouse2,1244.807,1209.071
693,,,mouse2,1245.066,1210.493
694,,,mouse2,1243.202,1209.628
