p_val,avg_log2FC,pct.OE,pct.Scr,p_val_adj,gene
6.99E-03,-1.093101429,0.021,0.063,1.00E+00,1700029J07Rik
6.99E-03,-0.4193664842,0.023,0.068,1.00E+00,Gm26944
7.00E-03,-0.4470697012,0.064,0.135,1.00E+00,1700088E04Rik
7.01E-03,-0.3060568967,0.126,0.227,1.00E+00,Hgsnat
7.02E-03,-0.7913044853,0.023,0.068,1.00E+00,Thoc6
7.03E-03,-0.1226819188,0.211,0.362,1.00E+00,Aatf
7.05E-03,-0.3265394412,0.062,0.13,1.00E+00,Abcb4
7.09E-03,-0.9512050887,0.032,0.082,1.00E+00,1700109H08Rik
7.09E-03,-0.1741812296,0.229,0.377,1.00E+00,Pdhb
7.10E-03,-0.3101275909,0.046,0.106,1.00E+00,Bnip2
7.10E-03,-0.1013330331,0.294,0.488,1.00E+00,Phf24
7.10E-03,-0.1993024139,0.147,0.256,1.00E+00,Gm43376
7.12E-03,-1.028911552,0.032,0.082,1.00E+00,Serpinc1
7.12E-03,-0.5379754451,0.085,0.164,1.00E+00,Edf1
7.16E-03,-0.4696224521,0.053,0.116,1.00E+00,Gm27153
7.17E-03,-2.92782692,0.002,0.024,1.00E+00,Gm42658
7.17E-03,-2.732273249,0.002,0.024,1.00E+00,Dbf4
7.17E-03,-2.726632773,0.002,0.024,1.00E+00,Trim13
7.17E-03,-0.2843616788,0.087,0.169,1.00E+00,Nkap
7.17E-03,-0.9612199031,0.032,0.082,1.00E+00,2310033P09Rik
7.20E-03,-0.2819313273,0.064,0.135,1.00E+00,Mrfap1
7.22E-03,-0.2978524592,0.096,0.184,1.00E+00,Sh2d5
7.22E-03,-0.1579329278,0.094,0.179,1.00E+00,Ptk7
7.23E-03,-2.269531263,0.002,0.024,1.00E+00,Igsf10
7.23E-03,-2.846511943,0.002,0.024,1.00E+00,Phf13
7.23E-03,-2.54164834,0.002,0.024,1.00E+00,Atp10a
7.23E-03,-2.556628798,0.002,0.024,1.00E+00,Gm16347
7.23E-03,-2.531601899,0.002,0.024,1.00E+00,Pcsk4
7.23E-03,-0.2323006902,0.099,0.188,1.00E+00,Zfp410
7.23E-03,-0.2668133796,0.089,0.174,1.00E+00,Cebpz
7.23E-03,-0.9809726547,0.021,0.063,1.00E+00,Accs
7.24E-03,-0.5650894032,0.06,0.126,1.00E+00,Uqcr10
7.24E-03,-0.1425067182,0.064,0.135,1.00E+00,Ganab
7.26E-03,-0.1731570413,0.211,0.353,1.00E+00,Neo1
7.27E-03,-0.1394009964,0.126,0.227,1.00E+00,Jkamp
7.28E-03,-0.1275029064,0.128,0.232,1.00E+00,D930016D06Rik
7.29E-03,-1.922810966,0.002,0.024,1.00E+00,2810002D19Rik
7.29E-03,-1.350534045,0.002,0.024,1.00E+00,Pou3f1
7.29E-03,-2.451849752,0.002,0.024,1.00E+00,Gm13054
7.29E-03,-2.246099771,0.002,0.024,1.00E+00,Bloc1s3
7.29E-03,-2.476104155,0.002,0.024,1.00E+00,Olfr691
7.29E-03,-2.203944532,0.002,0.024,1.00E+00,Hspa2
7.29E-03,-2.039439571,0.002,0.024,1.00E+00,Liph
7.29E-03,-1.957405553,0.002,0.024,1.00E+00,Togaram2
7.29E-03,-2.247974108,0.002,0.024,1.00E+00,Taf9b
7.29E-03,-2.280494243,0.002,0.024,1.00E+00,Tceal1
7.29E-03,-0.2218525259,0.071,0.145,1.00E+00,Zfp60
7.29E-03,-0.2838109048,0.055,0.121,1.00E+00,Slc29a2
7.31E-03,-0.3871190562,0.101,0.188,1.00E+00,Psma7
7.31E-03,-0.2534437768,0.087,0.169,1.00E+00,Rnmt
7.32E-03,-0.2097798015,0.126,0.227,1.00E+00,Lrrc20
7.33E-03,-0.2114260262,0.174,0.3,1.00E+00,Erp44
7.34E-03,-0.4095383281,0.087,0.164,1.00E+00,Szrd1
7.36E-03,-0.2335642641,0.392,0.614,1.00E+00,Atp6v1h
7.36E-03,-0.8708311389,0.021,0.063,1.00E+00,Zfp12
7.37E-03,-0.4914084481,0.069,0.14,1.00E+00,Ralgds
7.37E-03,-0.1290988099,0.181,0.314,1.00E+00,Rcn2
7.39E-03,-0.4692581839,0.044,0.101,1.00E+00,Pwp1
7.39E-03,-0.6909692932,0.021,0.063,1.00E+00,Zgrf1
7.40E-03,-0.1749273896,0.429,0.647,1.00E+00,Unc13a
7.42E-03,-0.1167618552,0.119,0.217,1.00E+00,Vapb
7.43E-03,0.1456751206,0.193,0.338,1.00E+00,Dido1
7.44E-03,-0.1687265552,0.968,0.99,1.00E+00,Enox1
7.45E-03,-0.1756180975,0.307,0.469,1.00E+00,Smarcc2
7.46E-03,-0.277994059,0.101,0.188,1.00E+00,Snw1
7.49E-03,-0.180841112,0.243,0.401,1.00E+00,Cers4
7.52E-03,-0.7791974565,0.021,0.063,1.00E+00,Hnrnpa0
7.53E-03,-0.1389561999,0.209,0.353,1.00E+00,Miga1
7.53E-03,-0.1685780441,0.172,0.295,1.00E+00,Ccdc93
7.55E-03,-0.2182572848,0.502,0.734,1.00E+00,Wdr7
7.58E-03,-0.4871179742,0.06,0.126,1.00E+00,Dmwd
7.62E-03,-0.1641797803,0.073,0.15,1.00E+00,Tpcn1
7.62E-03,-0.217087288,0.151,0.266,1.00E+00,Sgpl1
7.64E-03,-0.1519028292,0.131,0.237,1.00E+00,Rhbdd2
7.65E-03,-0.1222975255,0.147,0.261,1.00E+00,Ubap1l
7.65E-03,-0.6624443411,0.021,0.063,1.00E+00,Hbegf
7.65E-03,-0.4616815384,0.05,0.111,1.00E+00,Ubl7
7.66E-03,-0.7376587381,0.041,0.097,1.00E+00,Panx1
7.66E-03,-0.2847620204,0.087,0.169,1.00E+00,Tkt
7.67E-03,-0.2199178232,0.096,0.184,1.00E+00,Stk19
7.67E-03,-0.4903867442,0.044,0.101,1.00E+00,Tmem18
7.68E-03,3.051530899,0.053,0.01,1.00E+00,Ccnd1
7.69E-03,-0.6620590532,0.032,0.082,1.00E+00,Gm45509
7.71E-03,-1.330800928,0.018,0.058,1.00E+00,Zfp386
7.71E-03,-0.8377196789,0.032,0.082,1.00E+00,Pttg1
7.71E-03,-0.1909865363,0.133,0.237,1.00E+00,Rbmx
7.72E-03,-0.1610584725,0.103,0.193,1.00E+00,Sin3a
7.72E-03,-0.148624613,0.298,0.469,1.00E+00,Map6
7.73E-03,-0.2439122653,0.083,0.159,1.00E+00,A230056P14Rik
7.73E-03,-0.2746983392,0.078,0.155,1.00E+00,Snrpb
7.74E-03,-0.2909200178,0.998,1,1.00E+00,Galntl6
