,Nose_x,Nose_y,Head_x,Head_y,roi,transition_index,N_s1_dist,NosePoke,NHaxis_angle,Heading_2_Szone,distance,approaching,EVT1,EVT2,EVT3
51,557.8298950195312,220.7993011474609,557.8298950195312,220.7993011474609,S,,5.162897226760574,on,110.50795720956604,False,101.93148702692851,True,,,
52,557.8298950195312,222.11978149414065,557.8298950195312,222.11978149414065,S,,6.374232345954758,on,110.44347543000521,False,103.13511052288904,False,,,
53,557.8298950195312,225.09591674804688,557.8298950195312,225.09591674804688,S,,9.710816461165235,on,112.10304436699278,False,105.8580880386917,False,,,
54,557.2010498046875,225.09591674804688,557.2010498046875,225.09591674804688,S,,10.291229999667397,on,110.84232288523087,False,106.11016533284872,False,,,
55,556.8313598632812,225.09591674804688,556.8313598632812,225.09591674804688,S,,10.689418793464498,on,110.08320041293388,False,106.25981620724353,False,,,
56,556.7901611328125,224.35394287109372,556.7901611328125,224.35394287109372,S,,10.944677633675576,on,108.30039817512302,False,105.59911212569119,True,,,
57,556.4578247070312,222.41012573242188,556.4578247070312,222.41012573242188,S,,9.948672889776864,on,102.65174043989765,False,103.96726826292651,True,,,
58,556.4578247070312,222.41012573242188,556.4578247070312,222.41012573242188,S,,11.899573133060482,on,102.63136987593896,False,103.96726826292651,False,,,
59,556.4578247070312,222.41012573242188,556.4578247070312,222.41012573242188,S,,13.982117773616089,on,102.56644972173592,False,103.96726826292651,False,,,
60,556.4578247070312,223.3441467285156,556.4578247070312,223.3441467285156,S,,14.864435360303453,on,102.91170812788626,False,104.81615974949821,False,,,
61,556.1505126953125,223.5811462402344,556.1505126953125,223.5811462402344,S,,15.506590753306174,on,102.34905838114442,False,105.1595599718876,False,,,
62,555.881591796875,228.39584350585935,555.881591796875,228.39584350585935,S,,24.816013268675885,on,104.26473838855884,False,109.66202321510654,False,,,
63,555.6729125976562,228.9538116455078,555.6729125976562,228.9538116455078,S,,29.087872245844146,on,108.5131755810165,False,110.25680370540265,False,2.0,,
64,548.2033081054688,228.9538116455078,548.2033081054688,228.9538116455078,S,,38.902603015901505,off,96.38317992006945,False,113.46615961146155,False,,,
65,544.5291137695312,228.9538116455078,544.5291137695312,228.9538116455078,S,,45.09990533519433,off,90.91074761690982,False,115.18980555999856,False,,,
66,541.8612060546875,225.88235473632807,541.8612060546875,225.88235473632807,S,,49.46420978753716,off,90.59633891086857,False,113.84671593921307,True,,,
67,535.1011352539062,222.3067169189453,535.1011352539062,222.3067169189453,S,,61.021537834560476,off,85.63778041708217,False,114.47977769615845,False,,,
68,533.6685791015625,220.86795043945312,533.6685791015625,220.86795043945312,S,,63.4910049826199,off,86.62383575111582,False,114.12411496800487,True,,,
69,531.2900390625,220.7828521728516,531.2900390625,220.7828521728516,S,,66.74308462410316,off,87.92200787783878,False,115.45439094881583,False,,,
70,529.9078369140625,220.3580322265625,529.9078369140625,220.3580322265625,S,,68.18841688815421,off,91.28392645626514,False,115.9435959543623,False,,,
71,528.9655151367188,218.95628356933597,528.9655151367188,218.95628356933597,S,,69.36564125501312,off,90.53441375013207,False,115.40772747323807,True,,,
72,527.8515625,217.4981842041016,527.8515625,217.4981842041016,S,,70.67673760458466,off,90.56820182493017,False,114.95791407955655,True,,,
73,522.7041015625,215.98660278320312,522.7041015625,215.98660278320312,S,,76.20597477530806,off,85.76981257875346,False,117.11660080701404,False,,,
74,518.60498046875,215.92979431152344,518.60498046875,215.92979431152344,S,,80.52016363896429,off,81.48257879804437,False,119.8198561681635,False,,,
75,514.3046875,214.1881103515625,514.3046875,214.1881103515625,S,,85.36604622069109,off,79.6412330882896,False,121.54043339747383,False,,,
